e,Date,Toss winning team,Toss Decision,Batting First,First Innings Score,Wickets Lost,Boundaries(6s & 4s),Overs in First innings,Batting Second,Second Innings Score,Wickets Lost (2),Boundaries(6s & 4s)2,Overs in Second innings,Winning Team,Won By,Venue
38,"28th April 2023, Friday",PBKS ,bowl,Lucknow Super Giants,257,5,41,20,Punjab Kings,201,10,26,19.5,LSG,56 runs.,"Punjab Cricket Association IS Bindra Stadium,  Mohali,  Chandigarh"
33,"23rd April 2023, Sunday",KKR,bowl,Chennai Super Kings,235,4,32,20,Kolkata Knight Riders,186,8,26,20,CSK,49 runs.,"Eden Gardens,  Kolkata"
19,"14th April 2023, Friday",KKR,bowl,Sunrisers Hyderabad,228,4,32,20,Kolkata Knight Riders,205,7,29,20,SRH,23 runs.,"Eden Gardens,  Kolkata"
24,"17th April 2023, Monday",RCB ,bowl,Chennai Super Kings,226,6,29,20,Royal Challengers Bangalore,218,8,28,20,CSK,8 runs.,"M.Chinnaswamy Stadium,  Bengaluru"
6,"3rd April 2023, Monday",LSG,bowl,Chennai Super Kings,217,7,28,20,Lucknow Super Giants,205,7,22,20,CSK,12 runs.,"MA Chidambaram Stadium,  Chennai"
31,"22nd April 2023, Saturday",MI ,bowl,Punjab Kings,214,8,30,20,Mumbai Indians,201,6,28,20,PBKS,13 runs.,"Wankhede Stadium,  Mumbai"
15,"10th April 2023, Monday",LSG,bowl,Royal Challengers Bangalore,212,2,27,20,Lucknow Super Giants,213,9,29,20,LSG,1 wickets,"M.Chinnaswamy Stadium,  Bengaluru"
35,"25th April 2023, Tuesday",MI ,bowl,Gujarat Titans,207,6,26,20,Mumbai Indians,152,9,17,20,GT,55 runs.,"Narendra Modi Stadium,  Ahmedabad"
13,"9th April 2023, Sunday",GT,bat,Gujarat Titans,204,4,25,20,Kolkata Knight Riders,207,7,30,20,KKR,3 wickets,"Narendra Modi Stadium,  Ahmedabad"
9,"6th April 2023, Thursday",RCB ,bowl,Kolkata Knight Riders,204,7,27,20,Royal Challengers Bangalore,123,10,16,17.4,KKR,81 runs.,"Eden Gardens,  Kolkata"
4,"2nd April 2023, Sunday",SRH ,bowl,Rajasthan Royals,203,5,29,20,Sunrisers Hyderabad,131,8,13,20,RR,72 runs.,"Rajiv Gandhi International Stadium,  Uppal,  Hyderabad"
37,"27th April 2023, Thursday",RR ,bat,Rajasthan Royals,202,5,27,20,Chennai Super Kings,170,6,20,20,RR,32 runs.,"Sawai Mansingh Stadium,  Jaipur"
36,"26th April 2023, Wednesday",RCB ,bowl,Kolkata Knight Riders,200,5,28,20,Royal Challengers Bangalore,179,8,19,20,KKR,21 runs.,"M.Chinnaswamy Stadium,  Bengaluru"
11,"8th April 2023, Saturday",DC ,bowl,Rajasthan Royals,199,4,30,20,Delhi Capitals,142,9,15,20,RR,57 runs.,"Barsapara Cricket Stadium,  Guwahati"
8,"5th April 2023, Wednesday",RR ,bowl,Punjab Kings,197,4,26,20,Rajasthan Royals,192,7,23,20,PBKS,5 runs.,"Barsapara Cricket Stadium,  Guwahati"
40,"29th April 2023, Saturday",SRH ,bat,Sunrisers Hyderabad,197,6,26,20,Delhi Capitals,188,6,22,20,SRH,9 runs.,"Arun Jaitley Stadium,  Delhi"
3,"1st April 2023, Saturday",DC ,bowl,Lucknow Super Giants,193,6,21,20,Delhi Capitals,143,9,17,20,LSG,50 runs.,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,  Lucknow"
