Match Number,Date,Toss winning team,Toss Decision,Batting First,First Innings Score,Wickets Lost,Boundaries(6s & 4s),Overs First Innings,Batting Second,Second Innings Score,Wickets Lost (2),Boundaries(6s & 4s)(2),Overs Second Innings,Winning Team,Won By,Venue
1,"22nd March 2024, Friday",RCB,bat, Royal Challengers Bangalore ,173,6,22,20,Chennai Super Kings ,176,4,19,18.4, CSK , 6 wickets ,"MA Chidambaram Stadium, Chennai "
2,"23rd March 2024, Saturday",PBKS,bowl, Delhi Capitals ,174,9,24,20, Punjab Kings ,177,6,24,19.2, PBKS , 4 wickets ,"Maharaja Yadavindra Singh International Cricket Stadium, Chandigarh "
3,"23rd March 2024, Saturday",SRH,bowl, Kolkata Knight Riders ,208,7,29,20, Sunrisers Hyderabad ,204,7,27,20, KKR , 4 runs. ,"Eden Gardens, Kolkata "
4,"24th March 2024, Sunday",RR,bat, Rajasthan Royals ,193,4,21,20, Lucknow Super Giants ,173,6,19,20, RR , 20 runs. ,"Sawai Mansingh Stadium, Jaipur "
5,"24th March 2024, Sunday",MI,bowl, Gujarat Titans ,168,6,18,20,Mumbai Indians ,162,9,22,20, GT , 6 runs. ,"Narendra Modi Stadium, Ahmedabad "
6,"25th March 2024, Monday",RCB,bowl, Punjab Kings ,176,6,23,20, Royal Challengers Bangalore ,178,6,24,19.2, RCB, 4 wickets ,"M.Chinnaswamy Stadium, Bengaluru "
7,"26th March 2024, Tuesday",GT,bowl, Chennai Super Kings ,206,6,27,20, Gujarat Titans ,143,8,16,20, CSK , 63 runs. ,"MA Chidambaram Stadium, Chennai "
8,"27th March 2024, Wednesday",MI,bowl, Sunrisers Hyderabad ,277,3,37,20,Mumbai Indians ,246,,32,20, SRH , 31 runs. ,"Rajiv Gandhi International Stadium, Hyderabad "
9,"28th March 2024, Thursday",DC,bowl, Rajasthan Royals ,185,5,25,20, Delhi Capitals ,173,5,22,20, RR , 12 runs. ,"Sawai Mansingh Stadium, Jaipur "
10,"29th March 2024, Friday",KKR,bowl, Royal Challengers Bangalore ,182,6,22,20, Kolkata Knight Riders ,186,3,22,16.5, KKR , 7 wickets ,"M.Chinnaswamy Stadium, Bengaluru "
